OrderID,Amount,OrderDate,CustomerID
614OS21121345745016,"29,925",2021-12-13 12:44:15,3927850
614OS21121341919303,"45,000",2021-12-13 12:29:32,1547861
614OS21121339308016,"99,000",2021-12-13 11:38:37,4689073
614OS21121339308016,"25,000",2021-12-13 11:38:37,4689073
614OS21121339308016,"41,000",2021-12-13 11:38:37,4689073
614OS21121339308016,"120,000",2021-12-13 11:38:37,4689073
614OS21121339308016,"50,000",2021-12-13 11:38:37,4689073
614OS21121336161430,"99,000",2021-12-13 11:36:14,4608777
614OS21121336161430,"37,000",2021-12-13 11:36:14,4608777
614OS21121338418326,"175,000",2021-12-13 10:55:05,4688962
614OS21121338418326,"25,000",2021-12-13 10:55:05,4688962
614OS21121338418326,"55,000",2021-12-13 10:55:05,4688962
614OS21121336143946,"215,000",2021-12-13 10:40:18,4688915
614OS21121334409580,"19,000",2021-12-13 10:02:41,4609543
614OS21121334409580,"55,000",2021-12-13 10:02:41,4609543
614OS21121335514443,"19,000",2021-12-13 10:02:24,4609543
614OS21121335514443,"55,000",2021-12-13 10:02:24,4609543
614OS21121335400646,"111,000",2021-12-13 09:51:53,2704307
614OS21121335282553,"99,500",2021-12-13 09:49:59,4610081
614OS21121335195820,"199,000",2021-12-13 09:47:59,4615007
614OS21121335195820,"145,000",2021-12-13 09:47:59,4615007
614OS21121334503786,"99,000",2021-12-13 09:42:19,4688715
614OS21121334503786,"69,000",2021-12-13 09:42:19,4688715
614OS21121334503786,"132,300",2021-12-13 09:42:19,4688715
614OS21121333592096,"79,000",2021-12-13 09:35:02,2025478
614OS21121334379706,"185,000",2021-12-13 09:33:26,4688683
614OS21121333369500,"229,000",2021-12-13 09:19:49,4615007
614OS21121333369500,"79,000",2021-12-13 09:19:49,4615007
614OS21121333369500,"111,000",2021-12-13 09:19:49,4615007
614OS21121333306796,"39,000",2021-12-13 09:16:06,4608836
614OS21121332693016,"117,000",2021-12-13 09:15:06,4608836
614OS21121332693016,"59,000",2021-12-13 09:15:06,4608836
614OS21121332545280,"39,000",2021-12-13 09:04:51,4688588
614OS21121332481466,"99,000",2021-12-13 09:02:23,4688588
